feature,importance
Diff_1,0.25930616
Daily_Quantity,0.21182077
Diff_7,0.1745952
Rolling_Std_7,0.051906534
Lag_1,0.038974512
Rolling_Mean_7,0.035158668
Lag_7,0.0341827
Rolling_Max_30,0.02958291
New_Customers,0.02553638
Rolling_Max_14,0.019934347
Rolling_Min_7,0.014319901
Rolling_Max_7,0.011832075
DayOfYear,0.011036171
Rolling_Mean_30,0.009804252
Rolling_Std_14,0.009178261
DayOfYear_cos,0.008276637
Rolling_Min_30,0.0070109316
Daily_Profit,0.0067831445
Rolling_Std_30,0.004906002
DayOfWeek,0.0045802454
Month_sin,0.0043807924
Lag_30,0.0040768804
Rolling_Mean_14,0.0040541836
WeekOfYear,0.0037727407
Month,0.002760335
Rolling_Min_14,0.0023415377
Avg_Discount,0.0022299967
DayOfYear_sin,0.0021705683
Month_cos,0.001982463
Lag_14,0.0018464589
Day,0.0011652019
Days_Since_First,0.00049297296
Is_Month_Start,0.0
Is_Month_End,0.0
Is_Weekend,0.0
Year,0.0
